State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,Nagaon,1439112,1384656,2823768,1710716,921850,788866,979998,196174,38122,1225246,1563203,26844,3036,1073,1162,1999919,873197,1778277,678034,366112,962.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,Nalbari,396006,375633,771639,531771,293184,238587,267623,34984,19302,491582,277488,429,62,27,1004,606629,188960,442061,211320,117809,949.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,Sonitpur,983904,940206,1924110,1108572,620525,488047,770606,114865,25719,1422824,350536,138166,1363,5088,1003,1298039,627141,1159991,501239,261648,956.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,Tinsukia,680231,647698,1327929,798322,453449,344873,557196,47756,13241,1181347,48373,76877,1999,16228,837,910252,417081,799874,352158,175377,952.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,Araria,1463333,1348236,2811569,1195768,727643,468125,1069893,691947,24367,1593525,1207442,4116,371,187,1910,1485840,1653766,1872943,612012,324091,921.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,Aurangabad,1318684,1221389,2540073,1466002,868733,597269,837770,426096,40652,2291133,237353,2218,295,334,775,1833998,784131,1626969,564571,340948,926.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,Aurangabad,1924469,1776813,3701282,2503837,1430936,1072901,1575079,396630,28033,2545438,786677,15991,5142,309093,30981,2611982,819734,2211996,909771,571932,923.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,Aurangabad,1318684,1221389,2540073,1466002,868733,597269,837770,426096,40652,2291133,237353,2218,295,334,775,1833998,784131,1626969,564571,340948,926.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,Aurangabad,1924469,1776813,3701282,2503837,1430936,1072901,1575079,396630,28033,2545438,786677,15991,5142,309093,30981,2611982,819734,2211996,909771,571932,923.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,Banka,1067140,967623,2034763,965321,590961,374360,771080,462614,26680,1772655,250925,6138,139,113,94,1214645,879831,1291235,462080,278863,907.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,Begusarai,1567660,1402881,2970541,1548673,918507,630166,938182,430870,58167,2554330,407348,2209,402,229,276,1822334,1242551,1951688,644874,369996,895.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,Bhagalpur,1615663,1422103,3037766,1573066,937669,635397,983528,475228,60461,2487866,537098,3556,415,180,1050,1976417,1139715,1952879,674660,397654,880.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,Bhojpur,1430380,1298027,2728407,1599151,973486,625665,822493,364875,47985,2518216,197819,2165,544,647,1472,2172525,1005140,1722387,613072,387389,907.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,Buxar,887977,818375,1706352,989807,593544,396263,538322,251790,26122,1591454,105423,2125,248,5090,97,1344677,457814,1074754,375372,253998,922.0,58.0
